match_type,confidence_score,date_bank,date_check,amount,amount_bank,amount_check,description_bank,description_check,transaction_id_bank,transaction_id_check
Phase 1: Deterministic (Unique Amount),,2023-05-26 00:00:00,2023-05-25 00:00:00,93.75,,,CAFE #6232,Restaurant,B0155,R0155
Phase 1: Deterministic (Unique Amount),,2023-05-27 00:00:00,2023-05-27 00:00:00,3043.43,,,DIRECT DEPOSIT,Paycheck,B0055,R0055
Phase 1: Deterministic (Unique Amount),,2023-05-27 00:00:00,2023-05-27 00:00:00,34.27,,,NETFLIX,Gym,B0111,R0111
Phase 1: Deterministic (Unique Amount),,2023-05-28 00:00:00,2023-05-25 00:00:00,772.09,,,CHECK #2028,Paid y check,B0104,R0104
Phase 1: Deterministic (Unique Amount),,2023-05-28 00:00:00,2023-05-28 00:00:00,37.95,,,BP GAS #7938,Fill up,B0108,R0108
Phase 1: Deterministic (Unique Amount),,2023-05-29 00:00:00,2023-05-29 00:00:00,117.61,,,ONLINE TRANSFER,Moved to savings,B0221,R0221
Phase 1: Deterministic (Unique Amount),,2023-05-30 00:00:00,2023-05-30 00:00:00,1656.03,,,ACH TRANSFER,Internal transfer,B0278,R0278
Phase 1: Deterministic (Unique Amount),,2023-05-30 00:00:00,2023-05-26 00:00:00,307.73,,,MISC TRANSACTION 8806,Other expense,B0304,R0304
Phase 1: Deterministic (Unique Amount),,2023-06-02 00:00:00,2023-05-31 00:00:00,283.32,,,EBAY PURCHASE,Online purchase,B0213,R0213
Phase 1: Deterministic (Unique Amount),,2023-06-08 00:00:00,2023-06-05 00:00:00,825.91,,,CHECK #4152,Check payment,B0049,R0049
Phase 1: Deterministic (Unique Amount),,2023-06-08 00:00:00,2023-06-06 00:00:00,57.25,,,CAFE #6530,DINNER OUT,B0146,R0146
Phase 1: Deterministic (Unique Amount),,2023-06-09 00:00:00,2023-06-09 00:00:00,158.21,,,WHOLE FOODS #9392,Weekly groceries,B0094,R0094
Phase 1: Deterministic (Unique Amount),,2023-06-09 00:00:00,2023-06-08 00:00:00,68.26,,,BISTRO #1980,Restaurant,B0285,R0285
Phase 1: Deterministic (Unique Amount),,2023-06-10 00:00:00,2023-06-09 00:00:00,220.13,,,EBAY PURCHASE,Online purchase,B0045,R0045
Phase 1: Deterministic (Unique Amount),,2023-06-15 00:00:00,2023-06-14 00:00:00,115.93,,,TRADER JOES,Groceries,B0192,R0192
Phase 1: Deterministic (Unique Amount),,2023-06-16 00:00:00,2023-06-12 00:00:00,164.76,,,AMAZON.COM,Online shopping,B0211,R0211
Phase 1: Deterministic (Unique Amount),,2023-06-16 00:00:00,2023-06-12 00:00:00,18.52,,,AMAZON.COM,Online purchase,B0270,R0270
Phase 1: Deterministic (Unique Amount),,2023-06-18 00:00:00,2023-06-17 00:00:00,23.38,,,NETFLIX,Gym,B0274,R0274
Phase 1: Deterministic (Unique Amount),,2023-06-19 00:00:00,2023-06-18 00:00:00,264.14,,,ONLINE ORDER #056,Online shopping,B0101,R0101
Phase 1: Deterministic (Unique Amount),,2023-06-19 00:00:00,2023-06-18 00:00:00,270.02,,,AMAZON.COM,Amazon order,B0261,R0261
Phase 1: Deterministic (Unique Amount),,2023-06-20 00:00:00,2023-06-19 00:00:00,88.66,,,DINER #4561,Eating out,B0090,R0090
Phase 1: Deterministic (Unique Amount),,2023-06-23 00:00:00,2023-06-22 00:00:00,81.04,,,online pmt water,utilities,B0137,R0137
Phase 1: Deterministic (Unique Amount),,2023-06-23 00:00:00,2023-06-22 00:00:00,1534.43,,,XFER TO SAVINGS,Moved to savngs,B0204,R0204
Phase 1: Deterministic (Unique Amount),,2023-06-26 00:00:00,2023-06-25 00:00:00,57.08,,,EXXON #9996,Gas station,B0098,R0098
Phase 1: Deterministic (Unique Amount),,2023-06-28 00:00:00,2023-06-27 00:00:00,1482.02,,,ONLINE TRANSFER,Transfer,B0147,R0147
Phase 1: Deterministic (Unique Amount),,2023-07-01 00:00:00,2023-07-01 00:00:00,25.87,,,SUBSCRIPTION #8526,Music subscription,B0143,R0143
Phase 1: Deterministic (Unique Amount),,2023-07-02 00:00:00,2023-07-02 00:00:00,116.54,,,ATM WD 6172,Cash withdrawal,B0172,R0172
Phase 1: Deterministic (Unique Amount),,2023-07-03 00:00:00,2023-07-02 00:00:00,128.47,,,AAZON.COM,Online shopping,B0121,R0121
Phase 1: Deterministic (Unique Amount),,2023-07-03 00:00:00,2023-07-03 00:00:00,155.69,,,ATM 1569 CASH,Cash,B0295,R0295
Phase 1: Deterministic (Unique Amount),,2023-07-05 00:00:00,2023-07-03 00:00:00,60.07,,,TRADER JOES,Groceries,B0203,R0203
Phase 1: Deterministic (Unique Amount),,2023-07-06 00:00:00,2023-07-04 00:00:00,40.69,,,ONLINE ORDER #8721,Online shopping,B0113,R0113
Phase 1: Deterministic (Unique Amount),,2023-07-07 00:00:00,2023-07-06 00:00:00,68.22,,,EXXON #8035,Gas station,B0114,R0114
Phase 1: Deterministic (Unique Amount),,2023-07-07 00:00:00,2023-07-04 00:00:00,124.11,,,ONLINE ORDER #3327,Amazon order,B0182,R0182
Phase 1: Deterministic (Unique Amount),,2023-07-07 00:00:00,2023-07-05 00:00:00,85.4,,,KROGER #4394,Grocery store,B0290,R0290
Phase 1: Deterministic (Unique Amount),,2023-07-11 00:00:00,2023-07-10 00:00:00,185.8,,,WHOLE FOODS 4157,Groceries,B0132,R0132
Phase 1: Deterministic (Unique Amount),,2023-07-13 00:00:00,2023-07-12 00:00:00,32.62,,,CAFE #6592,Restaurant,B0235,R0235
Phase 1: Deterministic (Unique Amount),,2023-07-14 00:00:00,2023-07-14 00:00:00,42.86,,,SPOTIFY,Streaming service,B0209,R0209
Phase 1: Deterministic (Unique Amount),,2023-07-14 00:00:00,2023-07-13 00:00:00,67.74,,,CHEVRON #1262,Gas station,B0215,R0215
Phase 1: Deterministic (Unique Amount),,2023-07-15 00:00:00,2023-07-14 00:00:00,49.53,,,NETFLIX,Monthly subscription,B0100,R0100
Phase 1: Deterministic (Unique Amount),,2023-07-17 00:00:00,2023-07-16 00:00:00,97.22,,,WHOLE FOODS #7235,food shopping,B0044,R0044
Phase 1: Deterministic (Unique Amount),,2023-07-19 00:00:00,2023-07-18 00:00:00,207.28,,,ATM WD 1161,ATM cash,B0059,R0059
Phase 1: Deterministic (Unique Amount),,2023-07-19 00:00:00,2023-07-16 00:00:00,124.4,,,online order #5893,Online purchase,B0264,R0264
Phase 1: Deterministic (Unique Amount),,2023-07-22 00:00:00,2023-07-22 00:00:00,46.58,,,SAFEWAY #7776,Food shopping,B0141,R0141
Phase 1: Deterministic (Unique Amount),,2023-07-23 00:00:00,2023-07-21 00:00:00,43.84,,,CAFE #8892,Dinner out,B0066,R0066
Phase 1: Deterministic (Unique Amount),,2023-07-27 00:00:00,2023-07-23 00:00:00,508.19,,,CHECK #7546,Check #7546,B0196,R0196
Phase 1: Deterministic (Unique Amount),,2023-07-27 00:00:00,2023-07-25 00:00:00,186.51,,,TRADER JOES,Grocery store,B0227,R0227
Phase 1: Deterministic (Unique Amount),,2023-07-29 00:00:00,2023-07-28 00:00:00,89.5,,,DINER #4763,Dinner out,B0154,R0154
Phase 1: Deterministic (Unique Amount),,2023-07-30 00:00:00,2023-07-30 00:00:00,606.93,,,ONLINE TRANSFER,Moved to savings,B0040,R0040
Phase 1: Deterministic (Unique Amount),,2023-07-30 00:00:00,2023-07-30 00:00:00,496.62,,,MISC TRANSACTION 2409,Other expense,B0306,R0306
Phase 1: Deterministic (Unique Amount),,2023-08-02 00:00:00,2023-07-28 00:00:00,234.3,,,CK #9352,Check payment,B0243,R0243
Phase 1: Deterministic (Unique Amount),,2023-08-03 00:00:00,2023-08-01 00:00:00,96.01,,,CAFE #6675,Eating out,B0058,R0058
Phase 1: Deterministic (Unique Amount),,2023-08-03 00:00:00,2023-08-02 00:00:00,57.39,,,DINER #6592,Dinner out,B0138,R0138
Phase 1: Deterministic (Unique Amount),,2023-08-04 00:00:00,2023-08-03 00:00:00,221.93,,,ONLINE PMT WATER,Electric bill,B0062,R0062
Phase 1: Deterministic (Unique Amount),,2023-08-05 00:00:00,2023-08-04 00:00:00,102.1,,,WHOLE FOODS #8849,Weekly groceries,B0024,R0024
Phase 1: Deterministic (Unique Amount),,2023-08-05 00:00:00,2023-08-05 00:00:00,1939.96,,,ACH TRANSFER,Transfer,B0134,R0134
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-08 00:00:00,169.84,,,TRADER JOES,Groceries,B0136,R0136
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-04 00:00:00,217.21,,,AMAZON.COM,Online shopping,B0144,R0144
Phase 1: Deterministic (Unique Amount),,2023-08-08 00:00:00,2023-08-08 00:00:00,184.52,,,ONLINE PMT GAS CO,Gas bill,B0170,R0170
Phase 1: Deterministic (Unique Amount),,2023-08-11 00:00:00,2023-08-09 00:00:00,131.33,,,WHOLE FOODS #8339,Grocery store,B0272,R0272
Phase 1: Deterministic (Unique Amount),,2023-08-13 00:00:00,2023-08-11 00:00:00,170.39,,,WHOLE FOODS #2267,Grocey store,B0033,R0033
Phase 1: Deterministic (Unique Amount),,2023-08-14 00:00:00,2023-08-13 00:00:00,57.21,,,BISTRO #4510,Restaurant,B0177,R0177
Phase 1: Deterministic (Unique Amount),,2023-08-15 00:00:00,2023-08-14 00:00:00,408.05,,,AUTO INS,Health insurance,B0082,R0082
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-16 00:00:00,419.78,,,INSURANCE PMT,Insurance payment,B0128,R0128
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-16 00:00:00,79.52,,,BISTRO #9004,Restaurant,B0183,R0183
Phase 1: Deterministic (Unique Amount),,2023-08-16 00:00:00,2023-08-11 00:00:00,250.53,,,CHECK #642,Check #6442,B0296,R0296
Phase 1: Deterministic (Unique Amount),,2023-08-18 00:00:00,2023-08-15 00:00:00,261.31,,,AMAZON.COM,Online shopping,B0149,R0149
Phase 1: Deterministic (Unique Amount),,2023-08-18 00:00:00,2023-08-18 00:00:00,1114.62,,,ACH TRANSFER,Transfer,B0161,R0161
Phase 1: Deterministic (Unique Amount),,2023-08-19 00:00:00,2023-08-18 00:00:00,65.07,,,BP GAS #2021,Fill up,B0054,R0054
Phase 1: Deterministic (Unique Amount),,2023-08-21 00:00:00,2023-08-19 00:00:00,718.65,,,CHECK #6258,Check #6258,B0085,R0085
Phase 1: Deterministic (Unique Amount),,2023-08-23 00:00:00,2023-08-22 00:00:00,46.59,,,online order #8392,Online purchase,B0169,R0169
Phase 1: Deterministic (Unique Amount),,2023-08-23 00:00:00,2023-08-22 00:00:00,1144.48,,,ONLINE TRANSFER,Moved to savings,B0297,R0297
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-24 00:00:00,34.33,,,MAINT FEE,Monthly charge,B0005,R0005
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-22 00:00:00,195.9,,,HEALTH INS PMT,Health insurance,B0069,R0069
Phase 1: Deterministic (Unique Amount),,2023-08-24 00:00:00,2023-08-21 00:00:00,40.12,,,AMAZON.COM,Online shopping,B0145,R0145
Phase 1: Deterministic (Unique Amount),,2023-08-25 00:00:00,2023-08-24 00:00:00,98.92,,,BISTRO #2636,Lunch,B0162,R0162
Phase 1: Deterministic (Unique Amount),,2023-08-27 00:00:00,2023-08-25 00:00:00,86.63,,,DINER #7015,Eating out,B0249,R0249
Phase 1: Deterministic (Unique Amount),,2023-08-28 00:00:00,2023-08-28 00:00:00,73.86,,,KROGER #2484,GROCERY STORE,B0115,R0115
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-26 00:00:00,232.79,,,KROGER #6892,Weekly groceries,B0089,R0089
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-24 00:00:00,653.81,,,CHECK #9164,Check #9164,B0167,R0167
Phase 1: Deterministic (Unique Amount),,2023-08-29 00:00:00,2023-08-28 00:00:00,32.86,,,SERVICE CHARGE,Bank fee,B0250,R0250
